county_ansi,asd_desc,util_practice_desc,freq_desc,commodity_desc,short_desc,load_time,CV (%),class_desc,year,region_desc,zip_5,county_name,state_name,group_desc,watershed_code,begin_code,state_fips_code,watershed_desc,country_name,state_alpha,domain_desc,asd_code,domaincat_desc,reference_period_desc,week_ending,Value,county_code,state_ansi,statisticcat_desc,country_code,source_desc,end_code,prodn_practice_desc,location_desc,sector_desc,unit_desc,agg_level_desc,congr_district_code
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1970,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"42,249,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1971,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"42,705,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1972,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"45,683,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1973,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"55,667,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1974,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"51,341,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1975,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"53,617,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1976,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"49,401,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1977,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"57,830,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1978,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"63,663,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1979,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"70,343,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1980,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"67,813,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1981,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"66,163,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1982,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"69,442,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1983,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"62,525,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1984,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"66,113,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1985,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"61,599,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1986,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"58,312,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1987,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"57,172,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1988,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"57,373,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1989,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"59,538,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1990,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"56,512,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1991,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"58,011,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1992,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"58,233,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1993,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"57,307,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1994,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"60,809,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1995,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"61,544,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1996,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"63,349,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1997,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"69,110,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1998,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"70,441,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,1999,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"72,446,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,2000,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"72,408,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,2001,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"72,975,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,2002,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"72,497,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,2003,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"72,476,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,2004,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"73,958,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,2005,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"71,251,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,2006,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"74,602,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-01-01 00:00:00.000,,ALL CLASSES,2007,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"64,146,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2014-11-03 16:18:55.000,,ALL CLASSES,2008,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"74,681,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2014-11-03 16:18:55.000,,ALL CLASSES,2009,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"76,372,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2014-11-03 16:18:55.000,,ALL CLASSES,2010,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"76,610,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2014-11-03 16:18:55.000,,ALL CLASSES,2011,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"73,776,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2014-11-03 16:18:55.000,,ALL CLASSES,2012,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"76,144,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-08-10 12:59:15.000,,ALL CLASSES,2012,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,,"74,635,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-06-29 08:37:20.000,,ALL CLASSES,2012,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR - JUN ACREAGE,,"75,315,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-11-09 10:26:00.000,,ALL CLASSES,2012,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR - NOV FORECAST,,"75,693,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-10-11 11:19:07.000,,ALL CLASSES,2012,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR - OCT FORECAST,,"75,693,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2012-09-12 11:03:54.000,,ALL CLASSES,2012,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR - SEP FORECAST,,"74,635,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2019-02-06 15:00:06.000,,ALL CLASSES,2013,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR,,"76,233,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2013-08-12 12:25:57.000,,ALL CLASSES,2013,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR - AUG FORECAST,,"76,378,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2013-11-08 14:14:29.000,,ALL CLASSES,2013,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR - NOV FORECAST,,"75,688,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
,,ALL UTILIZATION PRACTICES,ANNUAL,SOYBEANS,SOYBEANS - ACRES HARVESTED,2013-09-12 12:27:34.000,,ALL CLASSES,2013,,,,US TOTAL,FIELD CROPS,00000000,00,99,,UNITED STATES,US,TOTAL,,NOT SPECIFIED,YEAR - SEP FORECAST,,"76,378,000",,,AREA HARVESTED,9000,SURVEY,00,ALL PRODUCTION PRACTICES,US TOTAL,CROPS,ACRES,NATIONAL,
