Value,week_ending,country_code,statisticcat_desc,county_code,state_ansi,source_desc,end_code,prodn_practice_desc,sector_desc,location_desc,agg_level_desc,congr_district_code,unit_desc,watershed_desc,state_fips_code,state_alpha,country_name,domain_desc,asd_code,domaincat_desc,reference_period_desc,class_desc,region_desc,year,zip_5,county_name,state_name,begin_code,group_desc,watershed_code,county_ansi,freq_desc,util_practice_desc,asd_desc,commodity_desc,load_time,short_desc,CV (%)
29.7,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1962,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
24.4,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1962,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
25.2,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1963,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
20.8,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1963,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
25.7,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1963,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
26.3,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1963,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
25.8,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1964,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
21.1,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1964,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
27.6,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1964,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
26.8,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1964,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
26.5,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1965,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
23.6,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1965,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
30.4,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1965,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
27.1,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1965,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
26.3,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1966,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
21.6,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1966,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
25.9,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1966,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
27.4,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1966,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
25.8,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1967,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
23.4,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1967,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
24.1,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1967,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
26.5,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1967,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
28.4,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1968,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
26,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1968,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
27.5,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1968,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
29,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1968,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
30.6,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1969,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
27.3,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1969,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
31.7,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1969,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
31.2,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1969,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
31,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1970,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
23.6,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1970,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
25.1,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1970,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
33.4,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1970,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
33.9,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1971,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
30.7,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1971,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
32.1,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1971,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
35.4,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1971,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
32.7,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1972,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
29,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1972,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
28.6,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1972,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
34,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1972,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
31.6,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1973,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
28.3,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1973,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
27.2,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1973,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
33,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1973,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
27.3,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,ALL CLASSES,,1974,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT - YIELD, MEASURED IN BU / ACRE",
22.4,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, (EXCL DURUM)",,1974,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",
19.8,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,"SPRING, DURUM",,1974,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, SPRING, DURUM - YIELD, MEASURED IN BU / ACRE",
29.4,,9000,YIELD,,,SURVEY,00,ALL PRODUCTION PRACTICES,CROPS,US TOTAL,NATIONAL,,BU / ACRE,,99,US,UNITED STATES,TOTAL,,NOT SPECIFIED,YEAR,WINTER,,1974,,,US TOTAL,00,FIELD CROPS,00000000,,ANNUAL,ALL UTILIZATION PRACTICES,,WHEAT,2012-01-01 00:00:00.000,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",
