freq_desc,util_practice_desc,country_code,country_name,year,county_ansi,domaincat_desc,statisticcat_desc,sector_desc,state_alpha,asd_desc,commodity_desc,asd_code,short_desc,domain_desc,load_time,region_desc,end_code,county_name,state_name,congr_district_code,group_desc,CV (%),source_desc,class_desc,week_ending,watershed_code,unit_desc,reference_period_desc,county_code,zip_5,prodn_practice_desc,agg_level_desc,state_fips_code,watershed_desc,state_ansi,begin_code,Value,location_desc
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1966,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,25.4,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1966,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - AUG FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,23.3,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1966,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - NOV FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,25.2,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1966,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - OCT FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,25.1,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1966,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - SEP FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,25.1,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1967,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,24.5,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1967,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - AUG FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,24.9,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1967,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - NOV FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,24.6,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1967,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - OCT FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,24.8,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1967,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - SEP FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,25,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1968,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,26.7,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1968,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - AUG FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,26,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1968,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - NOV FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,26.4,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1968,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - OCT FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,26,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1968,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - SEP FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,26.4,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1969,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,27.4,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1969,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - AUG FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,25.5,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1969,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - NOV FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,26.3,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1969,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - OCT FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,25.7,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1969,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - SEP FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,25.3,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1970,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,26.7,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1970,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - AUG FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,26.8,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1970,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - NOV FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,27.3,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1970,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - OCT FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,27.3,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1970,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - SEP FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,27.2,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1971,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,27.5,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1971,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - AUG FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,28.8,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1971,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - NOV FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,28,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1971,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - OCT FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,27.4,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1971,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - SEP FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,27.7,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1972,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,27.8,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1972,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - AUG FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,27.7,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1972,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - NOV FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,29.5,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1972,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - OCT FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,28.7,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1972,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - SEP FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,28.1,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1973,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,27.8,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1973,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - AUG FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,27.4,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1973,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - NOV FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,28,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1973,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - OCT FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,28.3,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1973,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - SEP FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,28.3,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1974,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,23.7,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1974,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - AUG FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,25.1,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1974,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - NOV FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,23.7,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1974,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - OCT FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,24,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1974,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - SEP FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,25.1,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1975,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,28.9,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1975,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - AUG FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,27.2,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1975,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - NOV FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,28.4,US TOTAL
ANNUAL,ALL UTILIZATION PRACTICES,9000,UNITED STATES,1975,,NOT SPECIFIED,YIELD,CROPS,US,,SOYBEANS,,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,2012-01-01 00:00:00.000,,00,,US TOTAL,,FIELD CROPS,,SURVEY,ALL CLASSES,,00000000,BU / ACRE,YEAR - OCT FORECAST,,,ALL PRODUCTION PRACTICES,NATIONAL,99,,,00,27.5,US TOTAL
