group_desc,watershed_code,begin_code,state_name,county_name,zip_5,year,region_desc,class_desc,CV (%),short_desc,load_time,commodity_desc,asd_desc,util_practice_desc,freq_desc,county_ansi,unit_desc,congr_district_code,agg_level_desc,location_desc,sector_desc,prodn_practice_desc,end_code,source_desc,state_ansi,county_code,country_code,statisticcat_desc,week_ending,Value,reference_period_desc,domaincat_desc,asd_code,domain_desc,country_name,state_alpha,state_fips_code,watershed_desc
FIELD CROPS,00000000,00,US TOTAL,,,1967,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"8,363,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1968,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"55,980,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1968,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"7,879,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1969,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"54,574,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1969,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"7,892,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1970,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"57,358,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1970,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"8,078,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1971,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"64,123,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1971,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"8,814,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1972,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"57,513,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1972,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"8,351,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1973,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"62,143,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1973,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"9,023,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1974,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"65,405,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1974,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"10,844,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1975,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"67,625,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1975,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"9,848,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1976,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"71,506,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1976,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"11,281,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1977,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"71,614,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1977,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"9,314,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1978,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"71,930,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1978,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"8,624,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1979,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"72,400,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1979,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"7,989,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1980,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"72,961,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1980,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"9,299,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1981,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"74,524,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1981,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"8,307,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1982,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"72,719,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1982,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"8,252,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1983,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"51,479,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1983,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"7,808,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1984,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"71,897,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1984,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"7,535,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1985,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"75,209,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1985,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"7,155,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1986,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"68,907,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1986,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"6,418,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1987,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"59,505,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1987,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"5,994,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1988,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"58,250,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1988,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"8,301,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1989,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"64,783,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1989,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"6,606,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1990,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"66,952,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1990,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"6,123,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1991,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"68,822,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1991,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"6,140,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1992,,ALL CLASSES,,"CORN, GRAIN - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,GRAIN,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"72,077,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
FIELD CROPS,00000000,00,US TOTAL,,,1992,,ALL CLASSES,,"CORN, SILAGE - ACRES HARVESTED",2012-01-01 00:00:00.000,CORN,,SILAGE,ANNUAL,,ACRES,,NATIONAL,US TOTAL,CROPS,ALL PRODUCTION PRACTICES,00,SURVEY,,,9000,AREA HARVESTED,,"6,069,000",YEAR,NOT SPECIFIED,,TOTAL,UNITED STATES,US,99,
