iso3,year,population
USA,2007,301231207.0
USA,2008,304093966.0
USA,2009,306771529.0
USA,2010,309378227.0
USA,2011,311839461.0
USA,2012,314339099.0
USA,2013,316726282.0
USA,2014,319257560.0
USA,2015,321815121.0
USA,2016,324353340.0
USA,2017,326608609.0
USA,2018,328529577.0
USA,2019,330226227.0
USA,2020,331577720.0
USA,2021,332099760.0
USA,2022,334017321.0
USA,2023,336806231.0
