iso3,year,agriculture_value
FRA,2017,1.43496006533197
FRA,2018,1.53110170543578
FRA,2019,1.40828485472535
FRA,2020,1.4604342657704
FRA,2021,1.46334541457898
FRA,2022,1.72017137018833
FRA,2023,1.48475796304424
IND,1960,41.7413351234112
IND,1961,41.0924821982676
IND,1962,39.0659687962891
IND,1963,39.825351677532
IND,1964,41.3437167110651
IND,1965,39.3846972550148
IND,1966,40.3516512369392
IND,1967,42.7515580248472
IND,1968,42.0860273767475
IND,1969,41.5849235838776
IND,1970,40.2896134622547
IND,1971,38.6333911913009
IND,1972,38.6268263019613
IND,1973,41.6038246201552
IND,1974,38.8780587034235
IND,1975,35.9969148408834
IND,1976,34.3120367117561
IND,1977,35.777144264307
IND,1978,34.2739627109778
IND,1979,32.8255300200485
IND,1980,34.4088678062413
IND,1981,33.2976974188253
IND,1982,32.3267496865056
IND,1983,32.6065348775622
IND,1984,31.3805304117853
IND,1985,29.7181383564993
IND,1986,28.6411462697276
IND,1987,27.9723784011745
IND,1988,28.7698223693608
IND,1989,27.8396057996888
IND,1990,27.5848881365411
IND,1991,27.6627054102247
IND,1992,26.8969194477949
IND,1993,27.0545587671255
IND,1994,26.519937575032
IND,1995,24.4575477898552
IND,1996,25.199306058679
IND,1997,24.248674505748
IND,1998,24.180451549085
IND,1999,22.9725618865025
IND,2000,21.6110620465121
IND,2001,21.6188848861438
IND,2002,19.5345432709546
IND,2003,19.5919979784251
IND,2004,17.8146906487994
IND,2005,17.6202069548839
IND,2006,16.8094420944381
IND,2007,16.7501197597569
IND,2008,16.7909423598037
IND,2009,16.7442701563161
IND,2010,17.0265090136912
IND,2011,17.191973558015
IND,2012,16.8453770661356
IND,2013,17.1484235433697
IND,2014,16.7919345145039
IND,2015,16.1745081068401
IND,2016,16.3638005616331
IND,2017,16.5583314049368
IND,2018,16.031630686449
IND,2019,16.7555683032837
IND,2020,18.6685376603727
IND,2021,17.3725615260314
IND,2022,16.5461295925754
IND,2023,16.1931893571591
NGA,1981,12.240409246888
NGA,1982,13.5026901414336
NGA,1983,14.9907328930728
NGA,1984,18.3083606550373
NGA,1985,18.227639967623
NGA,1986,18.0204251588741
NGA,1987,20.5521063242771
NGA,1988,23.3716488476568
NGA,1989,21.2755973365002
NGA,1990,21.5562632771079
NGA,1991,20.8852831060192
NGA,1992,20.3211588731035
NGA,1993,23.4911304788674
NGA,1994,25.1738487759527
NGA,1995,25.4865064493222
NGA,1996,26.1991591974906
NGA,1997,27.4166511440248
NGA,1998,27.9083713814094
NGA,1999,26.0284857101616
NGA,2000,21.3572412972176
NGA,2001,24.4753546604632
NGA,2002,36.9650826661797
NGA,2003,33.8270605515687
NGA,2004,27.2304536006497
NGA,2005,26.0892828250796
NGA,2006,24.7349912601339
NGA,2007,24.6625772142283
NGA,2008,25.2797507802655
NGA,2009,26.7488545066519
NGA,2010,23.8937040912791
NGA,2011,22.2347109931956
NGA,2012,21.8599586165277
NGA,2013,20.7586228322439
NGA,2014,19.9902547680805
NGA,2015,20.6318934800012
NGA,2016,20.9831097083173
NGA,2017,20.8465714300542
NGA,2018,21.203773720121
NGA,2019,25.7349305726601
NGA,2020,28.3454204380593
NGA,2021,29.3882780431661
NGA,2022,28.5515522199731
NGA,2023,27.718291279131
USA,1997,1.33691171038169
USA,1998,1.21399691075917
USA,1999,1.15124101558576
USA,2000,1.15055536360653
USA,2001,1.1292569744094
USA,2002,0.973711859673977
USA,2003,1.12104760396265
USA,2004,1.26548363027696
USA,2005,1.1505065593333
USA,2006,1.00948718664602
USA,2007,1.07512397740734
USA,2008,1.05300059714298
USA,2009,0.960285892029002
USA,2010,1.02943733820679
USA,2011,1.20055910284662
USA,2012,1.14932964297306
USA,2013,1.32108416447024
USA,2014,1.17206510494526
USA,2015,1.03393378310334
USA,2016,0.942644552842604
USA,2017,0.946868677532138
USA,2018,0.903900642655548
USA,2019,0.838812891431208
USA,2020,0.948847431791134
USA,2021,0.959566656543433
