iso3,year,arable_land,agriculture_value,population,gdp,roots_and_tubers,avg_dietary_energy,prevelance_severe_food_insecurity,agriculture_total,temp_c,precip_mm,disaster_count,total_affected_sum,gdp_per_capita,cereal_total_yield,food_prod_index,undernourishment_pct_y,rural_population,total_emissions
USA,2005,18.1487285416157,1.1505065593333,295516599.0,13039199193000.0,41930.7,149.0,,370178.1801,9.7,718.51,16,850004.0,52393.45131,6450.7,85.68,,19.8038418251536,24.2309197663716
USA,2006,17.9130815374943,1.00948718664602,298379912.0,13815586948000.0,42420.5,148.0,,375630.5294,9.83,706.28,29,80308.0,53335.5897,6400.4,84.48,,19.6286933563841,23.5984673123705
USA,2007,17.6588154011386,1.07512397740734,301231207.0,14474226905000.0,42535.4,146.0,,375956.9268,9.66,685.01,23,668118.0,53889.3965,6704.4,89.61,,19.4846827127984,23.6668101920795
USA,2008,17.5380978571007,1.05300059714298,304093966.0,14769857911000.0,42454.7,145.0,,372214.7275,8.8,730.77,21,13389115.0,53442.71369,6598.3,91.2,,19.3780317103394,22.8275838265071
USA,2009,17.3860510613922,0.960285892029002,306771529.0,14478064934000.0,44399.2,145.0,,372732.7053,8.94,748.73,17,11323.0,51611.32171,7226.2,93.03,,19.3149621649501,21.1483152336474
USA,2010,17.2358768155392,1.02943733820679,309378227.0,15048964444000.0,42637.1,146.0,,374848.8111,9.36,730.1,14,11941.0,52555.76951,6978.1,92.23,,19.3002255326634,21.8314858983273
USA,2011,17.0864234286826,1.20055910284662,311839461.0,15599728123000.0,42382.9,147.0,,372561.547,9.38,731.28,22,431398.0,52956.66303,6803.5,91.36,,19.3042445743976,20.9943603000263
USA,2012,16.9341433431503,1.14932964297306,314339099.0,16253972230000.0,43531.3,147.0,,368082.1929,10.08,681.55,25,93551.0,53738.14767,5911.9,90.89,,19.3162506613762,20.0792504657526
USA,2013,16.9903285735213,1.32108416447024,316726282.0,16843190993000.0,44224.5,147.0,,365662.7324,9.12,767.08,28,214574.0,54462.62524,7300.9,95.8,,19.339110718785,20.360282889312
USA,2014,17.0496535963146,1.17206510494526,319257560.0,17550680174000.0,44561.7,147.0,1.0666666666666669,365125.4374,9.45,740.68,18,103684.0,55394.45104,7638.1,98.13,,19.3757768220234,20.3236433931275
USA,2015,17.103561900514,1.03393378310334,321815121.0,18206020741000.0,43823.1,147.0,0.9666666666666668,365709.5351,10.25,826.54,29,46590.0,56572.9189,7430.1,97.01,,19.4292010464909,19.7753408237147
USA,2016,17.154019176992,0.942644552842604,324353340.0,18695110842000.0,44962.4,148.0,0.9,376308.0306,10.66,747.46,26,85118920.0,57151.47084,8614.2,104.86,,19.5023354675869,19.2313049713007
USA,2017,17.2100806566223,0.946868677532138,326608609.0,19477336549000.0,45294.4,149.0,0.7999999999999999,375179.715,10.22,777.9,24,867075.0,58151.70214,8281.3,101.95,,19.5981321607109,18.9328888755654
USA,2018,17.0873260438462,0.903900642655548,328529577.0,20533057312000.0,46169.9,151.0,0.7666666666666666,381178.8628,9.91,820.91,18,1759929.0,59526.6657,8196.0,103.19,,19.7195432012623,19.3907886716696
USA,2019,16.9548167680067,0.838812891431208,330226227.0,21380976119000.0,47179.0,152.0,0.7333333333333334,377997.6877,9.74,833.96,20,19351.0,60750.98986,8005.5,99.64,,19.8695206646406,18.9210982930196
USA,2020,16.8248090718476,0.948847431791134,331577720.0,21060473613000.0,47274.6,152.0,0.7333333333333334,380837.9695,10.01,740.82,23,41431.0,59194.66652,8144.7,103.12,,20.002548237452,17.2023482156763
USA,2021,16.6944952784501,0.959566656543433,332099760.0,23315080560000.0,45665.7,152.0,0.8333333333333334,376828.7637,10.03,753.49,43,78969.0,62680.25036,8246.2,104.86,,19.9925234859728,18.0683861379484
USA,2022,16.5679749153313,,334017321.0,25604848907611.0,45512.4,152.0,0.9666666666666668,368027.707,9.74,707.98,26,6922.0,63886.13171,8065.5,101.28,,19.9675021760293,18.185392846738
