domain_desc,country_name,state_alpha,state_fips_code,watershed_desc,reference_period_desc,domaincat_desc,asd_code,source_desc,state_ansi,county_code,statisticcat_desc,country_code,week_ending,Value,unit_desc,congr_district_code,agg_level_desc,location_desc,sector_desc,end_code,prodn_practice_desc,short_desc,load_time,commodity_desc,util_practice_desc,asd_desc,freq_desc,county_ansi,CV (%),zip_5,year,region_desc,class_desc,watershed_code,group_desc,begin_code,state_name,county_name
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,757,810,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2000,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,890,682,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2001,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,756,147,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2002,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,453,845,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2003,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"3,123,790,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2004,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"3,068,342,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2005,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"3,196,726,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2006,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,677,117,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-01-01 00:00:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2007,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,967,007,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2014-11-03 16:18:55.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2008,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"3,360,931,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2014-11-03 16:18:55.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2009,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"3,331,306,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2014-11-03 16:18:55.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2010,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"3,097,179,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2014-11-03 16:18:55.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2011,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"3,042,044,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2014-11-03 16:18:55.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2012,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR - AUG FORECAST,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,692,014,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-08-10 12:59:15.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2012,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR - NOV FORECAST,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,971,022,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-11-09 10:26:00.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2012,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR - OCT FORECAST,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,860,290,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-10-11 11:19:07.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2012,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR - SEP FORECAST,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"2,634,310,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2012-09-12 11:03:54.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2012,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"3,357,004,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2019-02-06 15:00:06.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2013,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR - AUG FORECAST,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"3,255,444,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2013-08-12 12:25:57.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2013,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR - NOV FORECAST,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"3,257,746,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2013-11-08 14:14:29.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2013,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
TOTAL,UNITED STATES,US,99,,YEAR - SEP FORECAST,NOT SPECIFIED,,SURVEY,,,PRODUCTION,9000,,"3,149,166,000",BU,,NATIONAL,US TOTAL,CROPS,00,ALL PRODUCTION PRACTICES,"SOYBEANS - PRODUCTION, MEASURED IN BU",2013-09-12 12:27:34.000,SOYBEANS,ALL UTILIZATION PRACTICES,,ANNUAL,,,,2013,,ALL CLASSES,00000000,FIELD CROPS,00,US TOTAL,
