Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2005","2005","°c","1.155"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2006","2006","°c","1.029"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2007","2007","°c","1.143"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2008","2008","°c","0.211"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2009","2009","°c","0.401"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2010","2010","°c","0.701"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2011","2011","°c","0.541"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.458"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.616"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2014","2014","°c","0.509"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.533"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2016","2016","°c","2.216"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.421"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2018","2018","°c","1.267"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.023"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2020","2020","°c","1.315"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.155"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.202"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2023","2023","°c","1.199"
"ET","Temperature change on land","840","United States of America","7271","Temperature change","7020","Meteorological year","2024","2024","°c","1.95"
